2017-05-22 15:22:08,317 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.highrise:angSprMvcLogin2:0.0.1-SNAPSHOT @ C:\Users\ugoa\Documents\GCIT\Sprints\Sprint_10_31_16\angSprMvcLogin2\pom.xml.
2017-05-22 15:22:08,317 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.highrise:angSprMvcLogin2:0.0.1-SNAPSHOT @ C:\Users\ugoa\Documents\GCIT\Sprints\Sprint_10_31_16\angSprMvcLogin2\pom.xml.
2017-05-22 15:22:14,484 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.hibernate:hibernate-search:jar:5.5.5.Final has been relocated to org.hibernate:hibernate-search-orm:jar:5.5.5.Final
2017-05-22 15:22:14,498 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.hibernate:hibernate-search:jar:5.5.5.Final has been relocated to org.hibernate:hibernate-search-orm:jar:5.5.5.Final
2017-05-22 15:22:17,784 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.hibernate:hibernate-search:jar:5.5.5.Final has been relocated to org.hibernate:hibernate-search-orm:jar:5.5.5.Final
2017-05-22 15:22:36,591 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 15:22:36,603 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-22 15:22:36,626 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-22 15:22:36,628 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ugoa\Documents\GCIT\Sprints\Sprint_10_31_16\angSprMvcLogin2\src\test\resources
2017-05-22 15:22:39,068 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.highrise:angSprMvcLogin2:0.0.1-SNAPSHOT @ C:\Users\ugoa\Documents\GCIT\Sprints\Sprint_10_31_16\angSprMvcLogin2\pom.xml.
2017-05-22 15:22:39,108 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.hibernate:hibernate-search:jar:5.5.5.Final has been relocated to org.hibernate:hibernate-search-orm:jar:5.5.5.Final
