127.0.0.1 - - [05/Jul/2017:09:43:00 -0400] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/ HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/jquery/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/angular_1-4-8.js HTTP/1.1" 200 1070726
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/angular-touch_1.5.0.js HTTP/1.1" 200 26523
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/angular-animate-1.5.0.js HTTP/1.1" 200 149542
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/angular-route_1.2.13.js HTTP/1.1" 200 32505
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/pdfmake.js HTTP/1.1" 200 2664494
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/ui-grid.min.js HTTP/1.1" 200 317389
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/csv.js HTTP/1.1" 200 10688
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/css/pms.css HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/css/ui-grid.css HTTP/1.1" 200 56076
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/datepicker/ui-bootstrap-tpls-0.12.0.js HTTP/1.1" 200 142792
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/vfs_fonts.js HTTP/1.1" 200 955603
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/js/example.js HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/css/jquery-ui_1.11.4.css HTTP/1.1" 200 35348
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:28 -0400] "GET /logintest/css/bootstrap.min_3.3.7.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:29 -0400] "GET /logintest/js/datepicker/date.min_1.0.1.js HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:29 -0400] "GET /logintest/js/datepicker/bootstrap.min_3.3.7.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:31 -0400] "GET /logintest/index.js?1499262451695 HTTP/1.1" 200 11877
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:32 -0400] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:32 -0400] "GET /logintest/login.html HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:32 -0400] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:32 -0400] "GET /logintest/img/page-loader.gif HTTP/1.1" 200 46809
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:47:59 -0400] "POST /logintest/app/login/authenticate2/ HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:48:04 -0400] "GET /logintest/jGrid.html HTTP/1.1" 200 8025
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:48:04 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:48:07 -0400] "GET /logintest/css/ui-grid.woff HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:48:07 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [05/Jul/2017:09:48:07 -0400] "GET /logintest/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [05/Jul/2017:11:49:35 -0400] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Jul/2017:11:49:43 -0400] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Jul/2017:11:49:55 -0400] "GET /logintest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:11:49:57 -0400] "GET /logintest/index.js?1499269797044 HTTP/1.1" 200 11877
0:0:0:0:0:0:0:1 - - [05/Jul/2017:11:50:05 -0400] "GET /logintest/index.js?1499269805937 HTTP/1.1" 200 11877
